Barangay,Municipality,Before (min),After (min),Δ Time (min)
Pamplona Uno,City of Las Piñas,11.4,66.4,55.0
Zapote,City of Las Piñas,9.3,64.3,55.0
Pamplona Dos,City of Las Piñas,13.9,68.5,54.6
Ilaya,City of Las Piñas,4.9,59.2,54.4
Pamplona Tres,City of Las Piñas,11.3,65.4,54.1
Pulang Lupa Dos,City of Las Piñas,8.4,62.4,54.0
Talon Dos,City of Las Piñas,16.8,69.7,52.8
San Dionisio,City of Parañaque,3.2,54.7,51.5
Manuyo Dos,City of Las Piñas,8.4,59.3,50.9
Talon Singko,City of Las Piñas,23.3,72.4,49.1
